"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 24 23:47:09 GMT 2023","Mon Apr 24 23:47:19 GMT 2023","10317","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_commentDelete",""
"passed","Mon Apr 24 23:45:40 GMT 2023","Mon Apr 24 23:45:43 GMT 2023","2385","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regRight",""
"passed","Mon Apr 24 23:45:50 GMT 2023","Mon Apr 24 23:45:56 GMT 2023","5352","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regBadEmail",""
"broken","Mon Apr 24 23:47:38 GMT 2023","Mon Apr 24 23:47:45 GMT 2023","6298","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_nameModifie",""
"broken","Mon Apr 24 23:46:56 GMT 2023","Mon Apr 24 23:47:02 GMT 2023","5231","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_articleDelete",""
"broken","Mon Apr 24 23:47:27 GMT 2023","Mon Apr 24 23:47:37 GMT 2023","10296","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_tag2Csv",""
"passed","Mon Apr 24 23:45:57 GMT 2023","Mon Apr 24 23:45:57 GMT 2023","261","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginRight",""
"passed","Mon Apr 24 23:45:34 GMT 2023","Mon Apr 24 23:45:39 GMT 2023","5216","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_cookies",""
"broken","Mon Apr 24 23:47:21 GMT 2023","Mon Apr 24 23:47:26 GMT 2023","5234","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_importCsv",""
"passed","Mon Apr 24 23:46:16 GMT 2023","Mon Apr 24 23:46:21 GMT 2023","5243","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginBadPass",""
"passed","Mon Apr 24 23:46:10 GMT 2023","Mon Apr 24 23:46:15 GMT 2023","5129","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_loginEmpty",""
"passed","Mon Apr 24 23:45:44 GMT 2023","Mon Apr 24 23:45:49 GMT 2023","5122","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_regEmpty",""
"broken","Mon Apr 24 23:47:03 GMT 2023","Mon Apr 24 23:47:08 GMT 2023","5234","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_commentCreate",""
"broken","Mon Apr 24 23:46:34 GMT 2023","Mon Apr 24 23:46:44 GMT 2023","10318","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_tags",""
"broken","Mon Apr 24 23:45:58 GMT 2023","Mon Apr 24 23:46:08 GMT 2023","10308","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_logOut",""
"broken","Mon Apr 24 23:46:22 GMT 2023","Mon Apr 24 23:46:32 GMT 2023","10305","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_pageNumber",""
"broken","Mon Apr 24 23:46:45 GMT 2023","Mon Apr 24 23:46:55 GMT 2023","10316","vizsgaremek_test","test_vizsgaremek","TestConduit","","","test_articleCreate",""
